"","solver","instance_num","size","mean_imp","mean_time","median_time","min_time","max_time"
"1","dvnd",0,51,3.187803909774,1.667286465168,1.556599497795,1.16003322601,2.43329000473
"2","rvnd",0,51,3.19143300949233,1.39295493761733,1.27269554138,1.0463540554,2.06920313835
"3","dvnd",1,52,3.9711549291589,1.6473385238644,1.613989949225,1.08622384071,2.26602196693
"4","rvnd",1,52,3.937887937657,1.32784125010203,1.28398060799,0.941973924637,1.92354202271
"5","dvnd",2,70,5.5710283958171,2.1913414168358,2.16015851498,1.48803591728,3.21734690666
"6","rvnd",2,70,5.480551679251,1.39578653971333,1.28860497475,1.04758191109,2.17914795876
"7","dvnd",3,76,3.9475636543234,2.3254329919817,2.282022595405,1.56960105896,3.60850214958
"8","rvnd",3,76,3.90599760592633,1.52113479773167,1.46219599247,1.13737607002,2.0778169632
"9","dvnd",4,76,1.2426714260938,1.34760334253328,1.323187947275,0.688408136368,2.02297687531
"10","rvnd",4,76,1.22329687491133,1.3569211483005,1.31249797344,0.709630012512,1.94853591919
"11","dvnd",5,99,1.6249891015566,1.68791229247996,1.68876051903,0.971812963486,2.61543297768
"12","rvnd",5,99,1.59906718698533,1.4047502279279,1.304966568945,0.860991954803,2.03129792213
"13","dvnd",6,100,8.6844316530739,2.9643046355255,2.941460847855,2.14947795868,3.87972593307
"14","rvnd",6,100,8.665540669369,1.685294087727,1.65453994274,1.17448997498,2.60300087929
"15","dvnd",7,100,7.5193842377133,2.7480932021144,2.669345021245,2.15326905251,3.5395720005
"16","dvnd",8,100,9.3134974470394,2.9369092202183,2.837695598605,2.35843682289,3.93037199974
"17","rvnd",8,100,9.10370527316167,1.77722535133367,1.75502252579,1.22667813301,2.44645690918
"18","dvnd",9,100,9.7763705977186,2.9614414787288,2.940498590465,2.25316309929,3.80550098419
"19","rvnd",9,100,9.62049244476933,1.62201092243267,1.5667604208,1.10536503792,2.40858793259
"20","dvnd",10,100,7.6347717903587,2.8826133298874,2.880039930345,2.19361114502,3.77107620239
"21","rvnd",10,100,7.579304067273,1.53167408307433,1.47800207138,1.16839599609,2.0780570507
"22","dvnd",11,100,9.7614726670115,3.1801677823068,3.16286599636,2.41001081467,4.11187887192
"23","rvnd",11,100,9.42747274078867,1.66002199649767,1.621655106545,1.17019295692,2.41599988937
"24","dvnd",12,101,4.0872881332342,2.6176388192176,2.588925004005,1.93305587769,3.46459197998
"25","rvnd",12,101,4.03371801461067,1.62092608610867,1.62574005127,1.1185259819,2.4197871685
"26","dvnd",13,105,2.7179630694813,2.0988566493988,2.04779291153,1.49652719498,3.01999616623
"27","rvnd",13,105,2.68396114251467,1.446479590733,1.397743940355,1.13922309875,2.05470991135
"28","dvnd",14,107,1.3823296537246,1.34243810653704,1.261233091355,0.774291038513,1.95140886307
"29","rvnd",14,107,1.363649705827,1.40148793856247,1.37520301342,0.85302901268,2.00484585762
"30","dvnd",15,124,1.6565791624289,1.51548893451654,1.45971500874,0.876727104187,3.21748900414
"31","rvnd",15,124,1.63276192674967,1.4022982358931,1.33417594433,0.993072986603,1.98232102394
"32","dvnd",16,130,8.518596748951,3.3834927225114,3.383557081225,2.57271409035,4.2359931469
"33","rvnd",16,130,8.507152560494,1.83276801109233,1.749414920805,1.25423789024,2.60898590088
"34","dvnd",18,144,1.6054998363171,1.53189312458044,1.45203745365,0.963377952576,2.42793011665
"35","rvnd",18,144,1.535398408684,1.47281596660667,1.37584245205,1.03773093224,1.96189594269
"36","dvnd",19,150,8.4094525961465,3.939474949837,3.95662152767,2.57881093025,4.78083992004
"37","rvnd",19,150,8.31026864484333,1.903298719724,1.81335914135,1.2050640583,2.66415405273
"38","dvnd",20,150,11.111189275354,3.9930860280989,3.988038539885,2.853276968,5.00600004196
"39","rvnd",20,150,11.03469222253,1.979687762261,1.91846942902,1.36613202095,3.21738100052
"40","dvnd",21,150,11.54132089038,3.8723222732538,3.82597696781,2.86477208138,4.61998701096
"41","rvnd",21,150,11.3355561092233,1.879719662666,1.779397964475,1.2348690033,3.19851207733
"42","dvnd",22,152,2.33444783572267,2.435717010498,2.433390974995,1.45235204697,3.43332910538
"43","rvnd",22,152,2.289628090185,1.56878225008567,1.523149967195,1.02599406242,2.56227707863
"44","dvnd",23,159,1.13750494665133,1.36881883939053,1.314058065415,0.890134096146,1.95371508598
"45","rvnd",23,159,1.13884700531467,1.35740084648137,1.248401999475,0.975084066391,2.06399321556
"46","dvnd",24,195,1.65604259401433,1.89914479255633,1.867138385775,1.21054506302,2.62459516525
"47","rvnd",24,195,1.61877278263567,1.65691669782,1.62728857994,1.00860214233,2.40698695183
"48","dvnd",25,198,1.43912958103667,2.06428047816,2.044594049455,1.4597389698,2.69494891167
"49","rvnd",25,198,1.43340752112733,1.65549382368733,1.56248641014,1.12342405319,2.43587708473
"50","dvnd",26,200,13.2496943951167,5.014958874384,5.06382095814,4.06367778778,6.21733903885
"51","rvnd",26,200,13.2764814252733,2.04718880653367,2.054063796995,1.40453410149,2.81906700134
"52","dvnd",28,225,1.95548253283633,2.16293123563133,2.211848020555,1.05208396912,2.87843203545
"53","rvnd",28,225,1.93647453454567,1.894239878654,1.82671701908,1.09940600395,2.94611096382
"54","dvnd",29,225,2.07967857407333,3.632528360686,3.66269695759,2.78405189514,4.22385501862
"55","rvnd",29,225,2.03435074495933,1.73073581059767,1.716589450835,1.16039299965,2.49594092369
"56","dvnd",30,226,1.86852397507667,1.68565374215467,1.693556070325,1.21325206757,2.1254119873
"57","rvnd",30,226,1.802395589918,1.567160248757,1.487808585165,1.09054899216,2.51400589943
"58","dvnd",31,262,1.38815095074467,1.64938670794133,1.58372449875,1.1210899353,2.56410193443
"59","rvnd",31,262,1.363559292701,1.38161582946797,1.335190057755,0.95859503746,2.03306102753
"60","dvnd",32,264,1.50614356787033,3.512924702962,3.46101295948,2.34090018272,4.53835701942
"61","rvnd",32,264,1.47391494774933,1.835718091329,1.707890987395,1.19074392319,2.7488489151
"62","dvnd",33,280,1.116548872667,2.09779760837533,1.99843144417,1.57037401199,2.99438405037
"63","rvnd",33,280,1.090398484939,1.5567452112842,1.47339594364,0.946992874146,2.24967002869
"64","dvnd",34,299,1.673633840603,3.92171508471167,3.88384962082,3.087651968,5.57726097107
"65","rvnd",34,299,1.65820103627633,2.119992574056,2.117619991305,1.34663200378,2.93150687218
"66","dvnd",35,318,2.82549162772467,4.90403093496867,4.925189614295,3.78185987473,5.98934912682
"67","rvnd",35,318,2.79268405188167,2.19011162122067,2.141561985015,1.52942299843,2.82252979279
"68","dvnd",36,400,14.5928029961533,8.16189957459767,8.11883246899,7.07592201233,9.2685251236
"69","rvnd",36,400,14.57742534942,3.16198301315267,3.179525017735,2.28499007225,4.92223405838
"70","dvnd",38,439,2.11518620846767,3.28113018671633,3.368054986,2.26716709137,4.53166007996
"71","rvnd",38,439,2.109027200658,2.065323869387,2.14985692501,1.31599617004,2.93434095383
"72","dvnd",39,442,3.659928303881,6.02258192698267,6.11287689209,4.90108084679,6.96648097038
"73","rvnd",39,442,3.54122857792533,2.64909007549233,2.74952709675,1.56233501434,3.59713602066
"74","dvnd",40,493,4.056192048668,6.003210353851,5.84618186951,4.96287989616,7.44853901863
"75","rvnd",40,493,3.96235594619967,3.03338397343933,2.764819025995,1.82315993309,5.55581402779
"76","dvnd",41,501,16.82359983185,9.729550798738,9.78027403355,8.53442692757,10.7775948048
"77","rvnd",41,501,16.6497236849267,3.850887656212,3.730865478515,2.72538614273,5.68311905861
"78","dvnd",42,574,1.188303006841,4.027004766465,3.93934643269,3.06802797318,5.12402915955
"79","rvnd",42,574,1.17359896587367,2.47483932177267,2.43863749504,1.73932909966,3.84773921967
"80","dvnd",43,575,1.83032305927867,5.45702627499867,5.273884058,4.40668201447,7.82958197594
"81","rvnd",43,575,1.83804827215433,3.20860504309367,3.06543183327,1.85309004784,5.41808891296
"82","dvnd",44,654,3.70103320545833,6.29147639274567,6.18140590191,5.01084184647,7.7009909153
"83","rvnd",44,654,3.65162092962033,3.56840260028733,3.59788453579,2.31321692467,5.51231503487
"84","dvnd",45,657,5.57147891054767,8.750200287499,8.77025651932,7.08422994614,10.0763790607
"85","rvnd",45,657,5.556083778327,4.095009390512,3.706059932705,2.3374311924,7.67863798141
"86","dvnd",46,724,4.05384925809,9.50026747385467,9.497109532355,7.84446692467,11.9488010406
"87","rvnd",46,724,3.985715855873,4.37145500977833,4.08845746517,2.57077002525,7.83876490593
"88","dvnd",48,783,8.42317294487567,10.3842084169417,10.37576651575,8.95193505287,11.6406478882
"89","rvnd",48,783,8.33496436681767,4.95837966601067,4.83628547192,2.97526717186,7.18996500969
"90","dvnd",49,1001,24.3847756979733,17.78473844528,18.0850504637,14.284514904,19.895018816
"91","rvnd",49,1001,24.3640905223667,9.73278520901833,9.18574106693,5.75598716736,14.1823298931
"92","dvnd",50,1002,1.110435591269,6.34196882247933,6.394115924835,4.99794316292,7.75466108322
"93","rvnd",50,1002,1.11583324137133,4.75304687817867,4.697032094005,1.87175917625,9.86924886703
